ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
3,4,苹果 智能空气净化器 Mini,II197,昂歌信息信息有限公司生物科技,3.1,购买后，这款智能空气净化器优缺点都有。优点是音质出色。值得一提的是使用久了会发现一些小问题。有点贵了，但质量确实好。,2025-04-11,智能空气净化器
20,5,博世 智能电饭煲 Elite,NK179,同兴万点传媒有限公司虚拟现实,2.1,噪音控制问题很严重，完全不值这个价格。,2025-04-04,智能电饭煲
17,7,小米 智能摄像头 Plus,BX106,易动力科技有限公司金融科技,3.3,作为一个经常使用此类产品的人，这款智能摄像头中规中矩。在工作时时使用体验还不错。除此之外信号强度有点问题。总体来说还是很满意的。,2025-03-13,智能摄像头
2,7,小米 智能摄像头 Plus,BX106,易动力科技有限公司金融科技,3.5,智能摄像头的质量还可以，稳定性好，不过反应迟钝。,2025-02-28,智能摄像头
28,3,索尼 智能空气净化器 Standard,EB114,华泰通安科技有限公司网络安全,2.4,不推荐这款智能空气净化器，音质一般，很失望。,2025-02-28,智能空气净化器
10,3,索尼 智能空气净化器 Standard,BX106,易动力科技有限公司金融科技,2.8,不得不说，这款索尼 智能空气净化器 Standard使用体验很差。使用不到一周就出现了问题。唯一值得称赞的可能就是价格便宜。,2025-02-23,智能空气净化器
4,8,华为 智能加湿器 Elite,BX106,易动力科技有限公司金融科技,1.0,对这款智能加湿器非常不满意，兼容性差，浪费钱。,2025-02-05,智能加湿器
25,1,亚马逊 智能洗衣机 Lite,EB114,华泰通安科技有限公司网络安全,2.5,对这款智能洗衣机非常不满意，智能化程度低，浪费钱。,2024-12-27,智能洗衣机
22,9,LG 智能灯具 Advanced,CH868,菊风公司网络有限公司生物科技,1.8,噪音控制问题很严重，完全不值这个价格。,2024-12-23,智能灯具
15,1,亚马逊 智能洗衣机 Lite,NK179,同兴万点传媒有限公司虚拟现实,4.4,这是我用过的最好的智能洗衣机之一，性价比高，性价比很高。,2024-10-08,智能洗衣机
26,1,亚马逊 智能洗衣机 Lite,PA717,雨林木风计算机网络有限公司移动应用开发,1.4,不推荐这款智能洗衣机，稳定性差，很失望。,2024-07-13,智能洗衣机
7,3,索尼 智能空气净化器 Standard,BX106,易动力科技有限公司金融科技,3.0,使用后感觉，这款智能空气净化器功能基本满足需求。在看电影时时使用体验还不错。同时在办公环境场景下表现一般。期待下一代产品能有所改进。,2024-06-23,智能空气净化器
5,4,苹果 智能空气净化器 Mini,UX029,良诺传媒有限公司云计算,3.6,在做饭时使用还不错，但在其他情况下表现一般。,2024-06-01,智能空气净化器
16,8,华为 智能加湿器 Elite,PA717,雨林木风计算机网络有限公司移动应用开发,3.6,我觉得，这款智能加湿器质量还行。在旅行中使用时，远程控制表现不错。尤其是噪音控制有点问题。期待下一代产品能有所改进。,2024-06-01,智能加湿器
9,4,苹果 智能空气净化器 Mini,NC742,明腾科技有限公司物联网,2.3,使用一周后出现故障，兼容性差，售后服务也不好。,2024-05-24,智能空气净化器
30,5,博世 智能电饭煲 Elite,FI602,天开传媒有限公司信息技术,2.9,对这款智能电饭煲非常不满意，续航时间短，浪费钱。,2024-04-26,智能电饭煲
27,9,LG 智能灯具 Advanced,NC742,明腾科技有限公司物联网,1.9,使用一周后出现故障，智能化程度低，售后服务也不好。,2024-04-11,智能灯具
8,4,苹果 智能空气净化器 Mini,UX029,良诺传媒有限公司云计算,4.4,必须承认，这款苹果 智能空气净化器 Mini很好用。遗憾的是特别适合户外活动。如果非要说缺点的话，说明书不够详细。性价比很高。,2024-04-03,智能空气净化器
13,3,索尼 智能空气净化器 Standard,YH173,网新恒天科技有限公司数字科技,1.0,我发现，这款索尼 智能空气净化器 Standard很失望。连接稳定性简直无法忍受。唯一值得称赞的可能就是包装很精美。,2024-02-20,智能空气净化器
1,3,索尼 智能空气净化器 Standard,BX106,易动力科技有限公司金融科技,4.5,非常满意这次购买，智能化程度高，送货也很快。,2024-01-10,智能空气净化器
14,6,谷歌 智能体重秤 Pro,NK179,同兴万点传媒有限公司虚拟现实,2.4,对这款智能体重秤非常不满意，做工一般，浪费钱。,2024-01-08,智能体重秤
18,7,小米 智能摄像头 Plus,YH173,网新恒天科技有限公司数字科技,3.8,智能摄像头的质量还可以，稳定性好，不过音质一般。,2023-11-23,智能摄像头
12,9,LG 智能灯具 Advanced,EB114,华泰通安科技有限公司网络安全,2.4,个人认为，这款LG 智能灯具 Advanced性价比极低。在看电影时时完全不能正常工作。唯一值得称赞的可能就是送货速度快。这钱花得太冤枉了。,2023-11-06,智能灯具
6,1,亚马逊 智能洗衣机 Lite,FI602,天开传媒有限公司信息技术,2.8,电池寿命问题很严重，完全不值这个价格。,2023-11-01,智能洗衣机
19,8,华为 智能加湿器 Elite,VO164,九方科技有限公司移动应用开发,4.8,非常满意这次购买，质量很好，送货也很快。,2023-10-28,智能加湿器
24,5,博世 智能电饭煲 Elite,NC742,明腾科技有限公司物联网,4.8,这款产品的多用户管理特别好用，在户外活动时特别方便。,2023-10-10,智能电饭煲
21,7,小米 智能摄像头 Plus,XD592,浙大万朋科技有限公司信息技术,1.6,对这款智能摄像头非常不满意，耗电量大，浪费钱。,2023-08-20,智能摄像头
11,4,苹果 智能空气净化器 Mini,VF666,商软冠联信息有限公司生物科技,3.4,智能空气净化器的质量还可以，性价比高，不过操作复杂。,2023-08-10,智能空气净化器
23,3,索尼 智能空气净化器 Standard,XD592,浙大万朋科技有限公司信息技术,4.4,这款产品的多用户管理特别好用，在办公环境时特别方便。,2023-07-08,智能空气净化器
29,3,索尼 智能空气净化器 Standard,VO164,九方科技有限公司移动应用开发,3.0,这款产品优缺点都有，反应灵敏，但功能单一。,2023-06-19,智能空气净化器
